Client_ID,Client_Name,Industry_Sector,Country,Annual_Revenue_USD,Number_of_Employees,Risk_Score,Insurance_Premium_USD,Claims_Made_Last_12_Months,Last_Claim_Amount_USD,Policy_Start_Date,Policy_End_Date,Is_High_Risk,Notes
C0504,Global Ltd,Manufacturing,USA,2486488.0,3949,35.0,103538.0,Y,91881,2024-08-29,2025-06-27,Yes,Late claims
C0890,Secure Corp,Financial Institutions,Canada,4983680.0,2475,40.0,67433.0,NO,59287,2024-09-27,2026-06-10,N,Data mismatch
C0192,Secure Enterprises,Technology,India,7203230.0,3944,52.0,159245.0,N,78513,2018-08-21,2026-03-15,No,Frequent small claims
C0215,XYZ Solutions,Retail,Australia,2855423.0,4395,34.0,55098.0,YES,90480,2020-09-13,2025-01-10,No,Late claims
C0919,ABC Solutions,Retail,Canada,6456228.0,1150,12.0,158390.0,NO,64729,2024-03-31,2026-09-14,No,Late claims
C0212,ABC Ltd,Manufacturing,Germany,1707618.0,450,21.0,13556.0,NO,62956,2024-09-18,2025-01-09,Yes,Data mismatch
C0763,Prime Solutions,Technology,,3820464.0,3535,60.0,81253.0,NO,83055,2022-05-05,2025-03-01,N,Policy renewal pending
C0347,Prime Ltd,Telecom,UK,218834.0,4666,52.0,56151.0,Yes,30816,2020-11-06,2026-03-13,Yes,Late claims
C0242,ABC Pvt,Technology,Canada,4615488.0,4009,24.0,25219.0,Yes,5283,2020-08-09,2025-09-13,Yes,Clean history
C0292,Secure Solutions,Telecom,Singapore,5230397.0,2284,32.0,127813.0,N,97493,2024-10-13,2026-01-11,Y,Data mismatch
C0285,NextGen Enterprises,Energy,Germany,1518175.0,195,21.0,100071.0,Yes,24417,2023-01-19,2026-03-10,No,Frequent small claims
C0218,Prime Enterprises,,Canada,7713287.0,4480,86.0,131060.0,NO,62943,2019-03-31,2025-04-26,N,Policy renewal pending
C0641,Global Corp,Financial Institutions,Canada,2432517.0,1847,76.0,198594.0,Y,65901,,2026-01-09,Yes,Good client
C0455,Global Solutions,Healthcare,Germany,4297571.0,3603,24.0,173785.0,Yes,51831,2018-02-04,2025-01-13,Yes,Frequent small claims
C0563,Global Corp,Manufacturing,,5758796.0,1945,84.0,,NO,44516,2020-09-08,2026-05-17,No,Data mismatch
C0572,ABC Solutions,Technology,India,5321816.0,765,70.0,67507.0,NO,60935,2018-08-29,2026-06-14,Yes,Late claims
C0972,Prime Solutions,Financial Institutions,Canada,8956884.0,1066,45.0,82603.0,N,8263,2022-03-08,2026-06-04,Y,Data mismatch
C0460,Secure Corp,Telecom,USA,631831.0,88,100.0,184760.0,YES,76274,2023-03-19,2025-06-10,Yes,Data mismatch
C0758,Global Pvt,Telecom,Singapore,1315502.0,1568,93.0,60745.0,Yes,23470,2020-12-08,2026-01-15,N,Good client
C0067,Secure Ltd,Retail,Germany,5696411.0,2248,14.0,182809.0,YES,112,2023-09-19,2025-05-19,Yes,Needs review
C0790,Prime Corp,Manufacturing,Singapore,9014501.0,3223,82.0,141039.0,N,21119,,2026-01-16,Y,Good client
C0166,ABC Pvt,Telecom,Canada,6584531.0,4510,5.0,137001.0,Y,48442,2018-02-11,2026-07-13,Y,Late claims
C0129,XYZ Ltd,Manufacturing,USA,6316204.0,4313,7.0,98547.0,NO,90265,2024-05-20,2026-05-12,Y,Clean history
C0613,Global Ltd,Manufacturing,Canada,1278049.0,361,61.0,98574.0,No,73493,2023-08-03,2025-06-05,Y,Policy renewal pending
C0017,Global Corp,Manufacturing,UK,203355.0,3439,62.0,8828.0,NO,34675,2021-10-04,2025-08-30,No,Needs review
C0997,Secure Ltd,Healthcare,Australia,5886265.0,1816,57.0,,YES,15916,2019-09-24,2026-06-20,N,Data mismatch
C0448,ABC Solutions,Financial Institutions,Germany,2748790.0,956,60.0,89227.0,YES,36468,2019-01-15,2025-04-13,No,Needs review
C0373,Secure Pvt,Energy,,3479569.0,3980,72.0,143367.0,N,5520,2020-11-26,2026-06-17,Yes,Data mismatch
C0798,XYZ Enterprises,Telecom,Canada,3768866.0,1438,69.0,71732.0,NO,84486,2018-09-01,2025-05-23,Yes,Good client
C0780,Prime Ltd,Technology,USA,2100609.0,753,90.0,27601.0,YES,53027,2023-03-03,2026-04-06,Y,Frequent small claims
C0315,Allied Pvt,Healthcare,Canada,545101.0,3895,32.0,130438.0,No,49393,2021-11-17,2025-06-29,Y,Clean history
C0727,NextGen Enterprises,Financial Institutions,UK,5555770.0,1108,19.0,150051.0,NO,79768,2021-07-11,2026-04-14,Yes,Needs review
C0381,Allied Enterprises,Telecom,Canada,1523286.0,1754,64.0,188399.0,YES,78581,2020-11-18,2026-05-01,Y,Policy renewal pending
C0659,Prime Solutions,Retail,Australia,2815514.0,989,86.0,162495.0,NO,41258,2023-10-13,2026-09-25,Y,Policy renewal pending
C0693,ABC Pvt,Energy,Germany,2791276.0,3828,8.0,,NO,44386,2020-04-19,2026-10-10,Y,Late claims
C0093,XYZ Corp,Energy,Canada,2209818.0,2156,31.0,69200.0,Y,81486,2024-10-29,2025-08-04,Y,Frequent small claims
C0923,Allied Ltd,Retail,Singapore,2344702.0,4408,50.0,100742.0,No,14031,2019-09-16,2026-10-25,N,Late claims
C0582,NextGen Corp,Financial Institutions,Singapore,5218922.0,257,21.0,175851.0,No,6859,2021-05-15,2026-02-19,No,Policy renewal pending
C0702,Allied Ltd,Energy,USA,,625,47.0,52118.0,Yes,71196,2019-06-01,2025-09-14,Y,Policy renewal pending
C0888,Global Enterprises,Healthcare,Germany,5445854.0,4666,61.0,166980.0,No,19583,2022-06-06,2025-03-17,No,Policy renewal pending
C0064,XYZ Ltd,Manufacturing,USA,3147262.0,993,33.0,158262.0,No,37327,2020-01-29,2026-01-26,Y,Data mismatch
C0630,Prime Solutions,Energy,UK,9871802.0,1437,5.0,57870.0,YES,66629,2018-11-17,2026-11-18,Y,Frequent small claims
C0600,NextGen Enterprises,Manufacturing,Canada,4110912.0,3477,85.0,81240.0,Y,51877,2023-05-31,2026-10-24,N,Data mismatch
C0650,ABC Ltd,Technology,Singapore,5658956.0,579,63.0,38870.0,Yes,81159,2022-12-01,2026-07-28,Yes,Needs review
C0140,Allied Enterprises,Telecom,UK,1301482.0,4275,36.0,183847.0,No,61842,2018-05-10,2026-06-25,No,Frequent small claims
C0257,XYZ Ltd,Technology,Australia,8083441.0,1854,58.0,175047.0,N,89160,2019-07-06,2025-03-12,N,Policy renewal pending
C0936,Secure Pvt,Manufacturing,Singapore,,4181,35.0,35106.0,Y,59174,2021-01-20,2026-10-31,No,Clean history
C0332,NextGen Corp,Manufacturing,,5591590.0,942,23.0,29045.0,YES,32828,2018-10-06,2025-08-28,No,Late claims
C0117,Global Corp,Financial Institutions,UK,7987739.0,2225,31.0,55583.0,YES,28230,2020-02-22,2025-01-22,No,Needs review
C0571,Prime Ltd,Retail,Australia,2473139.0,602,7.0,191932.0,Y,51727,2022-04-17,2026-04-30,N,Frequent small claims
C0427,Prime Pvt,Energy,Singapore,4485536.0,1937,60.0,,Yes,93500,2023-05-01,2025-09-27,Y,Frequent small claims
C0984,Global Enterprises,Energy,Singapore,1681530.0,2612,6.0,18689.0,N,49500,2021-02-15,2026-01-28,No,Clean history
C0070,Prime Solutions,Technology,Germany,4874183.0,3745,54.0,,YES,59722,2022-10-09,2026-07-13,No,Clean history
C0783,Allied Pvt,Healthcare,India,9351130.0,4833,85.0,172849.0,No,22439,,2026-10-24,Yes,Good client
C0546,XYZ Enterprises,Retail,,3419144.0,985,35.0,39773.0,NO,63972,2018-08-16,2025-04-29,N,Frequent small claims
C0138,NextGen Ltd,Healthcare,UK,8406461.0,2731,93.0,87279.0,YES,68136,2022-01-11,2026-02-26,No,Late claims
C0649,Allied Ltd,Financial Institutions,India,4077266.0,3764,64.0,57428.0,NO,97537,2018-02-06,2025-11-13,Y,Needs review
C0718,Global Ltd,Manufacturing,Canada,4250276.0,1006,33.0,48527.0,Y,22164,2024-09-17,2026-05-05,Y,Data mismatch
C0804,XYZ Ltd,Telecom,India,9029285.0,2822,33.0,161314.0,N,59546,2019-04-19,2026-04-26,Yes,Clean history
C0490,NextGen Solutions,Telecom,Australia,3721581.0,1859,90.0,,No,96371,2021-12-28,2025-08-23,N,Data mismatch
C0119,XYZ Pvt,Technology,UK,5392895.0,2139,79.0,12461.0,N,45833,2018-06-01,2026-01-29,Y,Clean history
C0701,XYZ Corp,Retail,Singapore,8101482.0,2410,9.0,180841.0,NO,75324,,2026-11-17,Yes,Data mismatch
C0358,Allied Ltd,Healthcare,Singapore,8949851.0,86,37.0,,Y,76240,2018-08-26,2025-09-10,No,Policy renewal pending
C0907,Global Corp,Technology,Canada,3277993.0,1299,68.0,54976.0,Yes,28018,2019-09-01,2026-03-26,Yes,Data mismatch
C0820,Prime Solutions,Technology,Singapore,8140979.0,1011,63.0,156385.0,Y,31085,2021-10-04,2026-10-31,N,Good client
C0211,Prime Pvt,Healthcare,Canada,1010681.0,4856,60.0,81449.0,Y,10451,2023-11-30,2026-10-10,Yes,Good client
C0987,XYZ Corp,Energy,India,8469066.0,4493,82.0,106968.0,Y,19800,2022-10-13,2026-08-26,Y,Frequent small claims
C0976,Prime Pvt,Technology,Australia,6404680.0,2543,88.0,127049.0,NO,11874,2019-09-30,2026-02-02,N,Clean history
C0204,NextGen Solutions,,India,2248815.0,3776,2.0,178333.0,Yes,29943,2019-04-22,2026-12-16,Y,Clean history
C0318,XYZ Pvt,Financial Institutions,UK,7713269.0,776,21.0,87035.0,NO,35436,2021-01-27,2025-12-26,N,Needs review
C0524,Secure Pvt,Healthcare,Australia,9826290.0,323,24.0,,Y,48008,2022-01-08,2025-11-04,N,Late claims
C0088,NextGen Enterprises,Financial Institutions,UK,2330919.0,2951,12.0,170682.0,N,7846,2020-10-07,2025-11-29,N,Needs review
C0538,Secure Enterprises,Technology,,7927494.0,3812,36.0,116715.0,No,68975,2018-12-03,2025-04-01,No,Frequent small claims
C0060,Global Solutions,,India,,4597,25.0,188965.0,Y,86610,2021-05-18,2025-06-12,Y,Data mismatch
C0896,Prime Ltd,Technology,USA,1053959.0,1366,52.0,152745.0,No,19520,2024-03-07,2025-01-12,Y,Clean history
C0607,NextGen Pvt,Healthcare,UK,3411149.0,2385,71.0,76354.0,YES,88031,2023-01-07,2025-04-30,No,Clean history
C0330,ABC Corp,Financial Institutions,Canada,9981393.0,4119,46.0,126668.0,No,3606,2023-05-31,2026-05-05,Yes,Good client
C0839,ABC Enterprises,Healthcare,USA,3857974.0,2595,9.0,14256.0,No,2775,2019-08-19,2025-05-12,No,Needs review
C0611,Secure Pvt,Healthcare,India,,711,24.0,166188.0,No,66458,2021-02-04,2026-08-29,Yes,Frequent small claims
C0127,NextGen Ltd,Technology,Singapore,7164746.0,695,28.0,67493.0,Y,88229,2020-11-09,2025-12-04,Yes,Good client
C0903,ABC Solutions,Energy,,5375034.0,4726,78.0,173798.0,NO,41185,2022-01-07,2025-08-06,Yes,Data mismatch
C0196,Secure Enterprises,Retail,Germany,1761909.0,265,21.0,30372.0,NO,50516,2024-02-02,2026-05-22,No,Needs review
C0266,Secure Ltd,Energy,USA,1807923.0,4893,96.0,49789.0,YES,91829,2022-02-28,2025-03-24,Y,Good client
C0565,NextGen Corp,,Germany,2325300.0,684,57.0,79083.0,No,26069,2023-11-26,2025-01-13,No,Needs review
C0776,XYZ Ltd,Telecom,Australia,6582532.0,2458,30.0,191460.0,NO,19404,2020-10-13,2026-10-30,Yes,Policy renewal pending
C0900,Global Pvt,Energy,UK,4637358.0,195,,12415.0,Yes,73193,2018-11-23,2026-02-13,N,Clean history
C0616,NextGen Solutions,,UK,3564442.0,3021,58.0,153980.0,YES,43395,2020-09-25,2026-10-14,Y,Clean history
C0846,Prime Ltd,Energy,Singapore,3254240.0,1888,91.0,199115.0,N,26616,,2026-01-16,No,Data mismatch
C0223,NextGen Pvt,,,8863313.0,876,60.0,87302.0,N,21869,2018-04-03,2026-04-05,Yes,Good client
C0719,Global Enterprises,Telecom,India,5823601.0,1989,92.0,82227.0,NO,35595,2021-05-09,2025-05-20,Yes,Data mismatch
C0481,Global Enterprises,Energy,India,6806024.0,4013,20.0,37402.0,Yes,77535,2024-10-09,2025-05-16,Y,Data mismatch
C0446,Secure Solutions,Technology,Canada,3076242.0,2557,19.0,51101.0,Y,32130,2018-01-03,2025-01-21,Y,Data mismatch
C0418,XYZ Corp,Technology,Germany,3602630.0,4731,26.0,72904.0,YES,43937,2019-09-20,2025-02-24,Yes,Needs review
C0182,ABC Ltd,Manufacturing,USA,5774719.0,1508,21.0,162489.0,No,76872,,2025-12-14,Y,Frequent small claims
C0491,Prime Enterprises,Healthcare,Germany,4346238.0,2305,16.0,125779.0,NO,11064,2022-08-23,2025-08-05,N,Clean history
C0237,Prime Solutions,Telecom,Singapore,6771458.0,180,43.0,149355.0,Yes,91785,2018-09-04,2025-07-07,Y,Good client
C0433,Allied Corp,Energy,Germany,821747.0,935,4.0,126929.0,N,58692,2021-08-03,2025-06-03,No,Needs review
C0637,Prime Corp,Technology,India,4997590.0,2675,16.0,32606.0,YES,35959,2024-10-13,2025-11-13,Yes,Data mismatch
C0566,Secure Pvt,,Germany,,1975,21.0,65948.0,Y,56233,2023-11-15,2026-02-12,No,Policy renewal pending
C0878,Allied Pvt,Healthcare,UK,,4007,45.0,167627.0,NO,89462,2020-11-23,2025-06-03,No,Clean history
C0178,Global Pvt,,UK,3882875.0,3619,99.0,12597.0,No,82736,2024-08-27,2025-12-16,Y,Needs review
C0486,XYZ Corp,Financial Institutions,USA,3364908.0,1905,47.0,118550.0,No,55480,2020-09-19,2026-04-01,No,Clean history
C0916,NextGen Pvt,Telecom,USA,9928366.0,699,62.0,193799.0,NO,43856,2019-10-30,2025-07-21,Y,Needs review
C0777,Global Ltd,Retail,USA,5296467.0,3723,,163763.0,NO,25380,2018-05-25,2026-03-17,Y,Policy renewal pending
C0069,Secure Enterprises,Telecom,USA,1107293.0,4292,80.0,8744.0,Yes,19581,2019-12-24,2026-08-22,N,Data mismatch
C0007,XYZ Pvt,Retail,Singapore,9728519.0,1774,23.0,142868.0,N,75225,2018-02-24,2025-07-14,No,Data mismatch
C0753,XYZ Enterprises,Telecom,Singapore,3808654.0,1414,26.0,164073.0,Y,18062,2021-06-13,2025-12-15,Yes,Needs review
C0894,XYZ Solutions,,UK,2608749.0,1122,64.0,89995.0,N,46525,2024-05-30,2026-06-10,No,Data mismatch
C0118,NextGen Pvt,Healthcare,Australia,869598.0,3974,56.0,43392.0,N,59778,2021-06-16,2026-04-29,Yes,Needs review
C0636,Allied Pvt,Manufacturing,USA,7349903.0,3861,98.0,9426.0,Y,19259,2023-09-26,2026-11-09,Yes,Needs review
C0584,Global Pvt,Retail,,5222783.0,3511,26.0,29472.0,N,43307,2024-06-04,2026-06-22,Y,Clean history
C0156,Allied Solutions,Energy,,2054109.0,1383,2.0,7011.0,YES,18689,2020-05-14,2026-09-14,Yes,Frequent small claims
C0051,NextGen Enterprises,Technology,Australia,2405413.0,3360,66.0,196420.0,No,64887,2018-02-19,2026-12-22,Yes,Frequent small claims
C0499,NextGen Corp,Technology,India,2417336.0,1100,70.0,132881.0,Y,2382,2023-05-25,2026-09-24,No,Late claims
C0608,NextGen Solutions,Technology,Germany,8611010.0,356,86.0,56374.0,Y,37019,2018-06-28,2026-08-02,Yes,Late claims
C0341,XYZ Ltd,Retail,Australia,3277825.0,1690,13.0,123325.0,Yes,62061,2020-07-01,2026-10-18,No,Clean history
C0869,Secure Solutions,Telecom,Germany,9972232.0,4495,48.0,52857.0,NO,38225,2018-03-23,2026-01-03,Yes,Data mismatch
C0019,Global Pvt,Retail,USA,9884633.0,2767,26.0,22087.0,Y,4173,2019-01-05,2026-10-28,N,Needs review
C0071,Secure Enterprises,Technology,Germany,3466612.0,3502,52.0,153049.0,Y,92036,2018-02-16,2025-10-13,Yes,Late claims
C0911,XYZ Corp,Telecom,Singapore,9712128.0,3553,86.0,197312.0,YES,87438,2019-11-09,2025-10-26,Y,Data mismatch
C0995,ABC Corp,Technology,USA,3464695.0,4087,83.0,47291.0,Y,11669,2023-09-23,2026-10-17,Yes,Needs review
C0003,ABC Ltd,Energy,,4404572.0,738,98.0,88375.0,Yes,92268,2018-08-22,2026-08-08,Y,Frequent small claims
C0261,Prime Enterprises,Financial Institutions,,7028040.0,4174,96.0,6708.0,Yes,8024,2020-11-09,2025-03-16,Y,Good client
C0402,Prime Ltd,Telecom,Canada,9029860.0,638,34.0,94833.0,Yes,3453,2021-06-30,2025-07-04,Yes,Good client
C0073,Global Ltd,Energy,Australia,5367180.0,1358,99.0,15651.0,Yes,16523,2021-01-16,2026-08-24,No,Needs review
C0610,XYZ Solutions,Manufacturing,Germany,2596081.0,2039,81.0,129577.0,Yes,65133,2019-03-31,2025-11-12,N,Policy renewal pending
C0827,ABC Pvt,Energy,Australia,9539101.0,1997,15.0,71641.0,Yes,32093,2021-10-26,2026-11-10,Y,Data mismatch
C0137,NextGen Enterprises,Energy,Australia,1675557.0,4847,52.0,,NO,81882,2020-01-29,2026-04-11,N,Data mismatch
C0970,Allied Corp,Financial Institutions,India,1815630.0,2384,22.0,178784.0,Y,72391,2022-09-08,2026-01-31,Yes,Frequent small claims
C0729,Global Pvt,Manufacturing,India,3006158.0,2582,9.0,,YES,14026,2022-02-18,2025-05-20,Yes,Data mismatch
C0360,XYZ Corp,,India,8740059.0,1761,97.0,173048.0,No,16322,2018-08-23,2025-02-18,Y,Data mismatch
C0415,XYZ Ltd,Technology,Germany,864121.0,1057,10.0,106084.0,Yes,5618,2022-07-10,2026-07-20,N,Good client
C0480,Secure Corp,Technology,Canada,2834296.0,4715,,24008.0,NO,41153,2024-09-24,2026-10-21,N,Clean history
C0652,Secure Ltd,Manufacturing,UK,943523.0,3008,64.0,54067.0,YES,50357,2021-06-14,2025-01-05,Y,Late claims
C0089,Global Solutions,Technology,UK,7040119.0,1437,32.0,146130.0,Y,90563,2022-11-23,2026-04-22,Y,Frequent small claims
C0442,Prime Pvt,Retail,USA,1186880.0,4861,,152309.0,N,12816,2024-11-05,2025-07-29,Y,Good client
C0788,NextGen Enterprises,Technology,Singapore,1044789.0,1397,51.0,154673.0,No,5021,2020-02-14,2026-10-28,Y,Frequent small claims
C0615,XYZ Corp,Retail,Australia,7236029.0,1132,28.0,35431.0,No,99534,2023-12-29,2025-05-16,N,Policy renewal pending
C0012,Prime Solutions,Manufacturing,Singapore,1866891.0,1039,73.0,63557.0,No,73155,2023-05-06,2026-03-28,Yes,Needs review
C0349,Secure Corp,Technology,Singapore,,1610,50.0,148016.0,Yes,136,2020-06-20,2026-06-11,Y,Late claims
C0768,NextGen Corp,Telecom,Germany,1755016.0,4733,73.0,192818.0,Y,34087,2022-05-11,2025-05-26,No,Frequent small claims
C0867,NextGen Solutions,Telecom,India,8625631.0,2187,87.0,144347.0,YES,60931,2024-01-31,2025-01-29,Yes,Frequent small claims
C0498,Global Corp,Financial Institutions,UK,3872811.0,640,94.0,28478.0,N,90101,2021-08-20,2026-10-15,Y,Policy renewal pending
C0174,NextGen Pvt,,Australia,7533296.0,988,45.0,47359.0,N,62912,2023-07-10,2026-04-11,No,Needs review
C0570,Global Pvt,,Australia,523570.0,1489,91.0,146365.0,Y,32821,2022-09-29,2026-06-05,Y,Good client
C0431,NextGen Ltd,Telecom,UK,7806358.0,1090,17.0,143262.0,No,71696,2019-06-29,2026-10-25,Y,Late claims
C0631,Allied Pvt,Manufacturing,Singapore,4445760.0,3503,2.0,192619.0,No,80764,2020-11-02,2026-04-14,N,Late claims
C0216,Global Solutions,Energy,Germany,171295.0,440,8.0,117169.0,No,43764,2020-10-09,2025-08-15,N,Policy renewal pending
C0857,ABC Ltd,Telecom,Canada,9842257.0,422,,104003.0,NO,55863,2023-08-02,2026-12-05,Y,Policy renewal pending
C0712,Global Corp,Telecom,USA,2010705.0,2253,7.0,72468.0,YES,87959,2023-07-23,2026-12-22,No,Frequent small claims
C0451,Allied Pvt,Healthcare,Australia,8372841.0,3044,49.0,61071.0,Yes,47897,2024-08-31,2026-06-29,No,Needs review
C0594,NextGen Pvt,Telecom,USA,7567048.0,3006,90.0,180936.0,NO,7485,2022-03-16,2025-11-25,Yes,Needs review
C0096,NextGen Corp,Financial Institutions,Singapore,9567719.0,2818,18.0,182691.0,NO,88278,2022-04-05,2026-11-25,Yes,Data mismatch
C0833,NextGen Solutions,Telecom,Germany,4576576.0,3072,46.0,160801.0,YES,83014,2020-11-03,2026-09-25,Yes,Good client
C0502,NextGen Solutions,Technology,Germany,3888340.0,1009,19.0,,Y,45276,2018-04-01,2025-08-16,Yes,Needs review
C0144,Global Enterprises,Retail,Australia,3660920.0,2916,63.0,133379.0,NO,30109,2018-05-14,2026-02-27,Yes,Late claims
C0738,XYZ Corp,Retail,,6260686.0,1289,13.0,10451.0,No,47574,2024-09-03,2026-09-11,No,Policy renewal pending
C0195,Allied Pvt,Energy,Canada,3180389.0,3713,42.0,23800.0,N,7674,2020-04-16,2026-05-18,Yes,Needs review
C0925,Prime Ltd,Technology,Australia,5835193.0,3956,21.0,65142.0,Yes,65982,2023-09-20,2026-10-26,Y,Clean history
C0279,Prime Ltd,Manufacturing,India,6205525.0,3810,68.0,,N,93809,2019-10-01,2026-09-14,No,Late claims
C0417,Prime Enterprises,Telecom,Germany,9658356.0,3576,99.0,33454.0,Yes,1920,2023-07-20,2026-04-03,Yes,Clean history
C0167,Allied Corp,Energy,Singapore,3460011.0,531,65.0,96575.0,No,2994,2021-02-11,2026-10-26,Y,Late claims
C0275,NextGen Enterprises,Technology,,2083509.0,3480,50.0,165761.0,No,70843,2020-06-18,2026-06-12,Yes,Frequent small claims
C0967,Secure Enterprises,Financial Institutions,,3678226.0,3933,92.0,147180.0,Yes,99023,2022-09-22,2026-11-19,No,Policy renewal pending
C0359,Global Enterprises,Telecom,Canada,2085588.0,3437,61.0,89761.0,No,90063,2022-11-10,2026-04-29,N,Policy renewal pending
C0676,Global Corp,Manufacturing,UK,5075026.0,3864,44.0,123452.0,No,70130,2022-10-19,2026-09-22,No,Late claims
C0252,Secure Solutions,Energy,USA,5206799.0,3291,,85388.0,Yes,96007,2023-01-27,2026-11-06,Y,Needs review
C0697,XYZ Solutions,Energy,India,8107407.0,2043,36.0,118000.0,Y,93308,2020-04-28,2025-10-31,N,Good client
C0011,ABC Ltd,Manufacturing,Germany,5081505.0,3262,91.0,153781.0,No,33919,2021-04-18,2026-04-10,N,Good client
C0153,Secure Corp,Manufacturing,Singapore,5922184.0,236,86.0,122961.0,Y,36963,2022-04-15,2026-03-24,Y,Late claims
C0885,Prime Corp,Manufacturing,Singapore,2662469.0,1293,14.0,114850.0,N,45541,2020-08-20,2025-11-13,Yes,Needs review
C0703,NextGen Pvt,Retail,Germany,1172647.0,1357,15.0,89703.0,Y,70014,2024-04-03,2026-04-28,N,Clean history
C0505,ABC Ltd,,Singapore,887494.0,4523,,20372.0,NO,26946,2021-05-25,2026-02-02,N,Frequent small claims
C0426,Allied Solutions,Healthcare,USA,4566271.0,327,4.0,116668.0,N,70463,2021-06-06,2026-06-25,No,Data mismatch
